"期間","上市股票-公司家數-原始值","上市股票-公司家數-年增率","上市股票-總面額-原始值","上市股票-總面額-年增率","上市股票-總市值-原始值","上市股票-總市值-年增率","上市股票-總成交值-原始值","上市股票-總成交值-年增率","上市股票-日平均成交值-原始值","上市股票-日平均成交值-年增率","加權平均股價指數-原始值","加權平均股價指數-年增率"
"2008M02","706","2.76565","5541623","1.28858","21383375","9.42999","1821327","66.30815","130095","42.54955","7999.48","2.32340"
"2008M03","707","3.36257","5519415","1.08926","21734308","11.39593","3195747","24.06269","152178","35.87807","8439.59","9.75701"
"2008M04","709","4.41826","5526445","1.12015","22645331","16.33309","3295620","55.72144","156934","48.30558","8877.98","11.08792"
"2008M05","709","4.26471","5530045","0.92104","21891979","8.57206","2949928","40.12638","140473","46.79855","8910.21","10.17997"
"2008M06","710","4.71976","5534630","1.40268","19137110","-12.95918","2023239","-31.85233","96345","-35.09717","8180.00","-4.65734"
"2008M07","712","5.01475","5538256","1.46389","17893941","-22.32228","2203085","-55.49749","100140","-55.49768","7127.70","-23.83414"
"2008M08","712","4.86009","5573666","1.52613","17974758","-19.67702","1953762","-44.83085","93036","-39.57681","7071.12","-19.24977"
"2008M09","711","4.55882","5625144","1.27302","14584147","-38.27060","1871785","-24.30256","89133","-35.11607","6203.77","-31.59450"
"2008M10","711","4.40529","5663700","2.58679","12403195","-48.79965","1246851","-64.27264","56675","-64.27266","5043.05","-47.49661"
"2008M11","712","3.48837","5671848","2.21384","11365324","-47.36903","1113830","-61.65584","55692","-57.82091","4509.53","-48.75359"
"2008M12","718","2.86533","5690399","2.37027","11706527","-45.62008","1382764","-36.93985","60120","-42.42372","4496.38","-45.88543"
"2009M01","719","1.98582","5690117","2.62376","10844281","-43.34159","846025","-72.32926","56402","-59.41601","4475.14","-43.51461"
"2009M02","720","1.98300","5687621","2.63457","11636284","-45.58257","1309128","-28.12230","65456","-49.68600","4476.87","-44.03549"
"2009M03","725","2.54597","5673246","2.78709","13199267","-39.26990","2309601","-27.72892","104982","-31.01368","4925.88","-41.63366"
"2009M04","724","2.11566","5663265","2.47573","15097740","-33.32957","3132239","-4.95752","142375","-9.27715","5724.36","-35.52182"
"2009M05","725","2.25670","5663515","2.41354","17348851","-20.75248","3459420","17.27134","192190","36.81633","6586.30","-26.08143"
"2009M06","727","2.39437","5670035","2.44651","16214571","-15.27158","2845151","40.62357","123702","28.39483","6495.99","-20.58692"
"2009M07","726","1.96629","5712344","3.14337","17893122","-0.00458","3032338","37.64054","131841","31.65668","6834.54","-4.11297"
"2009M08","728","2.24719","5709398","2.43524","17329602","-3.58923","2096284","7.29475","104814","12.65962","6855.82","-3.04478"
"2009M09","730","2.67229","5724419","1.76484","19107809","31.01767","2640405","41.06348","120018","34.65047","7321.12","18.01082"
"2009M10","731","2.81294","5747682","1.48281","18727632","50.99039","2779022","122.88325","126319","122.88311","7588.72","50.47878"
"2009M11","732","2.80899","5745650","1.30120","19402590","70.71744","2284017","105.05975","108763","95.29376","7611.73","68.79209"
"2009M12","741","3.20334","5772899","1.44981","21033640","79.67447","2946840","113.11229","128123","113.11211","7836.69","74.28887"
"2010M01","741","3.05981","5775216","1.49556","19705866","81.71667","2982779","252.56393","149139","164.42147","8098.58","80.96819"
"2010M02","741","2.91667","5771416","1.47329","19158879","64.64774","1306703","-0.18524","93336","42.59350","7431.71","66.00236"
"2010M03","741","2.20690","5751690","1.38270","20426042","54.75134","2325402","0.68414","101104","-3.69397","7775.16","57.84307"
"2010M04","740","2.20994","5748080","1.49763","20646719","36.75371","2569256","-17.97382","122346","-14.06778","8052.45","40.66987"
"2010M05","741","2.20690","5754491","1.60635","19051871","9.81633","1984951","-42.62186","94521","-50.81898","7525.68","14.26264"
"2010M06","741","1.92572","5731008","1.07535","18918906","16.67842","1674137","-41.15824","79721","-35.55399","7383.42","13.66120"
"2010M07","743","2.34160","5730820","0.32344","20071129","12.17231","2235850","-26.26647","101630","-22.91472","7638.86","11.76846"
"2010M08","744","2.19780","5667334","-0.73675","19764051","14.04792","2725318","30.00710","123878","18.18841","7884.00","14.99718"
"2010M09","744","1.91781","5727292","0.05019","21399711","11.99458","2630214","-0.38596","125248","4.35768","8039.50","9.81243"
"2010M10","743","1.64159","5769811","0.38501","21655031","15.63144","2387011","-14.10608","113667","-10.01591","8210.01","8.18702"
"2010M11","747","2.04918","5782343","0.63862","22031397","13.54874","2324257","1.76181","105648","-2.86403","8350.26","9.70252"
"2010M12","758","2.29420","5811281","0.66487","23811416","13.20635","3072799","4.27438","133600","4.27480","8777.11","12.00022"
"2011M01","759","2.42915","5797118","0.37924","24235326","22.98534","2621305","-12.11870","131065","-12.11890","8970.76","10.76954"
"2011M02","759","2.42915","5798488","0.46907","22826282","19.14205","1908629","46.06448","136331","46.06476","8742.56","17.63861"
"2011M03","761","2.69906","5801016","0.85759","23066609","12.92745","2632637","13.21212","114462","13.21214","8575.49","10.29342"
"2011M04","762","2.97297","5768685","0.35847","23938928","15.94543","2130049","-17.09472","112108","-8.36807","8860.92","10.04005"
"2011M05","763","2.96896","5774731","0.35173","23891463","25.40219","2172780","9.46265","103466","9.46351","8910.54","18.40179"
"2011M06","763","2.96896","5777913","0.81844","23012090","21.63542","2067544","23.49909","98454","23.49820","8748.66","18.49062"
"2011M07","765","2.96097","5784779","0.94156","23079671","14.98940","2434834","8.89970","115944","14.08442","8681.24","13.64575"
"2011M08","769","3.36022","5817643","2.65220","20734799","4.91169","2924819","7.32028","127166","2.65422","7763.33","-1.53057"
"2011M09","774","4.03226","5940370","3.72040","19397422","-9.35662","2135855","-18.79539","101707","-18.79551","7385.13","-8.13944"
"2011M10","779","4.84522","5972409","3.51135","20392981","-5.82798","1818486","-23.81744","90924","-20.00845","7345.08","-10.53507"
"2011M11","783","4.81928","5993321","3.64866","18686991","-15.18018","1899710","-18.26592","86350","-18.26632","7275.44","-12.87170"
"2011M12","790","4.22164","6026767","3.70806","19216183","-19.29844","1450761","-52.78699","65944","-50.64072","6969.15","-20.59858"
"2012M01","790","4.08432","6030541","4.02654","20458175","-15.58531","1352933","-48.38704","90196","-31.18224","7176.74","-19.99853"
"2012M02","790","4.08432","6036285","4.10102","22116169","-3.11094","2779925","45.65036","138996","1.95480","7855.93","-10.14154"
"2012M03","791","3.94218","6037729","4.08054","21641482","-6.17831","2295997","-12.78718","99826","-12.78678","8020.00","-6.47765"
"2012M04","794","4.19948","6047500","4.83325","20480203","-14.44812","1516623","-28.79868","75831","-32.35898","7620.82","-13.99516"
"2012M05","796","4.32503","6060430","4.94740","19942561","-16.52851","1605049","-26.12924","72957","-29.48698","7356.84","-17.43665"
"2012M06","797","4.45609","6097153","5.52518","19981112","-13.17124","1337349","-35.31702","63683","-35.31700","7142.52","-18.35870"
"2012M07","798","4.31373","6103913","5.51679","19913981","-13.71636","1452987","-40.32501","66045","-43.03716","7187.14","-17.21067"
"2012M08","799","3.90117","6125865","5.29806","20352738","-1.84261","1666633","-43.01757","75756","-40.42747","7409.60","-4.55642"
"2012M09","799","3.22997","6178249","4.00445","21222470","9.40871","1705578","-20.14542","85279","-16.15228","7610.38","3.05005"
"2012M10","802","2.95250","6216050","4.07944","19768504","-3.06222","1385880","-23.78935","62995","-30.71686","7438.14","1.26697"
"2012M11","804","2.68199","6351814","5.98154","20916106","11.92870","1512672","-20.37353","68758","-20.37290","7255.63","-0.27229"
"2012M12","809","2.40506","6257977","3.83639","21352161","11.11552","1626540","12.11633","77454","17.45420","7630.81","9.49413"
"2013M01","810","2.53165","6284010","4.20309","21862901","6.86633","1716894","26.90163","78041","-13.47621","7759.25","8.11664"
"2013M02","809","2.40506","6283071","4.08838","22027004","-0.40317","1021175","-63.26610","78552","-43.48614","7932.68","0.97697"
"2013M03","811","2.52845","6284059","4.07985","22128637","2.25102","1607471","-29.98811","76546","-23.32058","7906.99","-1.40910"
"2013M04","811","2.14106","6297757","4.13819","22648516","10.58736","1460625","-3.69228","73031","-3.69242","7893.42","3.57704"
"2013M05","811","1.88442","6305491","4.04362","23119266","15.92927","1822583","13.55311","82845","13.55319","8272.34","12.44420"
"2013M06","812","1.88206","6304969","3.40841","22608265","13.14818","1482412","10.84706","78022","22.51621","7988.80","11.84848"
"2013M07","811","1.62907","6318110","3.50918","22727872","14.13023","1880000","29.38863","81739","23.76259","8101.91","12.72787"
"2013M08","813","1.75219","6362560","3.86386","22566863","10.87876","1564102","-6.15198","74481","-1.68304","7932.02","7.05058"
"2013M09","815","2.00250","6423605","3.97129","23037090","8.55047","1508767","-11.53926","75438","-11.53977","8193.46","7.66164"
"2013M10","818","1.99501","6464138","3.99109","23883572","20.81628","1747144","26.06748","79416","26.06715","8366.18","12.47678"
"2013M11","828","2.98507","6462463","1.74201","23875853","14.15056","1547506","2.30281","73691","7.17444","8236.52","13.51902"
"2013M12","838","3.58467","6488000","3.67568","24519560","14.83409","1582254","-2.72271","71921","-7.14359","8431.40","10.49155"
"2014M01","840","3.70370","6497192","3.39245","24137806","10.40532","1756816","2.32525","97601","25.06375","8566.62","10.40526"
"2014M02","841","3.95550","6498458","3.42805","24567879","11.53527","1515741","48.43107","89161","13.50570","8496.09","7.10239"
"2014M03","843","3.94575","6504150","3.50237","25187454","13.82289","1965993","22.30348","93619","22.30424","8687.45","9.87051"
"2014M04","844","4.06905","6528323","3.66108","25090648","10.78275","1935178","32.48972","92151","26.18066","8900.14","12.75391"
"2014M05","845","4.19236","6543349","3.77224","25939939","12.20053","1852014","1.61480","88191","6.45301","8936.23","8.02542"
"2014M06","845","4.06404","6547777","3.85106","26852675","18.77371","1969851","32.88148","98493","26.23747","9229.31","15.52811"
"2014M07","846","4.31566","6550932","3.68499","26662078","17.31005","2453160","30.48723","111507","36.41836","9474.13","16.93699"
"2014M08","847","4.18204","6585915","3.51046","27052231","19.87590","1844091","17.90094","87814","17.90121","9266.46","16.82346"
"2014M09","847","3.92638","6624924","3.13405","25790087","11.95028","1588289","5.27066","75633","0.25849","9229.01","12.63874"
"2014M10","849","3.78973","6635979","2.65837","25837372","8.18052","1738160","-0.51421","79007","-0.51501","8819.21","5.41502"
"2014M11","849","2.53623","6659393","3.04729","26446772","10.76786","1460839","-5.60043","73042","-0.88070","9015.87","9.46213"
"2014M12","854","1.90931","6665328","2.73317","26891503","9.67368","1818405","14.92497","75767","5.34753","9109.31","8.04030"
"2015M01","856","1.90476","6668874","2.64240","27081366","12.19481","1722532","-1.95148","86127","-11.75603","9281.74","8.34775"
"2015M02","856","1.78359","6679303","2.78289","27859490","13.39803","1023675","-32.46373","78744","-11.68336","9505.55","11.88147"
"2015M03","858","1.77936","6698292","2.98489","27787049","10.32099","2016093","2.54833","91641","-2.11282","9611.30","10.63431"
"2015M04","858","1.65877","6699430","2.62099","28480849","13.51181","1959319","1.24748","97966","6.31030","9679.93","8.76155"
"2015M05","859","1.65680","6719034","2.68494","28150415","8.52152","1758894","-5.02804","87945","-0.27894","9689.30","8.42716"
"2015M06","862","2.01183","6728164","2.75493","27135035","1.05152","1758921","-10.70792","83758","-14.96045","9355.10","1.36294"
"2015M07","864","2.12766","6714300","2.49381","25275490","-5.20060","1751656","-28.59593","79621","-28.59551","8963.88","-5.38572"
"2015M08","865","2.12515","6740144","2.34180","23860273","-11.79924","1796753","-2.56701","85560","-2.56679","8156.22","-11.98127"
"2015M09","866","2.24321","6817923","2.91323","23896918","-7.34068","1492838","-6.00967","74642","-1.31027","8205.51","-11.09003"
"2015M10","869","2.35571","6833444","2.97567","25013804","-3.18751","1687299","-2.92614","80348","1.69732","8551.14","-3.03961"
"2015M11","871","2.59128","6839647","2.70676","24387843","-7.78518","1673178","14.53541","79675","9.08108","8502.60","-5.69296"
"2015M12","874","2.34192","6849291","2.76000","24503635","-8.87964","1550328","-14.74243","67406","-11.03515","8298.22","-8.90397"
"2016M01","876","2.33645","6855878","2.80413","23963955","-11.51128","1503635","-12.70786","71602","-16.86463","7871.48","-15.19392"
"2016M02","876","2.33645","6864767","2.77670","24757955","-11.13278","954351","-6.77207","73412","-6.77131","8246.53","-13.24510"
"2016M03","877","2.21445","6857075","2.37050","25727237","-7.41285","1874629","-7.01674","81506","-11.05946","8687.65","-9.61004"
"2016M04","877","2.21445","6858771","2.37843","24628603","-13.52574","1304485","-33.42151","68657","-29.91752","8567.99","-11.48707"
"2016M05","881","2.56112","6877441","2.35759","25141183","-10.68983","1400333","-20.38559","66683","-24.17647","8235.47","-15.00449"
"2016M06","881","2.20418","6878344","2.23211","25528420","-5.92081","1366709","-22.29844","65081","-22.29877","8595.42","-8.12049"
"2016M07","881","1.96759","6876061","2.40920","26475933","4.74944","1545740","-11.75550","77287","-2.93139","8899.74","-0.71554"
"2016M08","880","1.73410","6885731","2.16000","26736938","12.05630","1598099","-11.05628","69483","-18.79032","9093.75","11.49466"
"2016M09","883","1.96305","6926883","1.59814","27045736","13.17667","1299492","-12.95157","68394","-8.37062","9130.87","11.27730"
"2016M10","885","1.84120","6950764","1.71685","27466799","9.80657","1206409","-28.50058","60320","-24.92657","9273.74","8.45034"
"2016M11","889","2.06659","6984221","2.11376","27354206","12.16329","1475398","-11.82062","67064","-15.82805","9098.39","7.00715"
"2016M12","892","2.05950","6936979","1.28025","27247913","11.19947","1241859","-19.89702","56448","-16.25671","9245.26","11.41257"
"2017M01","894","2.05479","6953592","1.42526","27890908","16.38692","1033495","-31.26690","64593","-9.78883","9351.71","18.80498"
"2017M02","894","2.05479","6951728","1.26677","28842580","16.49823","1773797","85.86422","98544","34.23419","9673.98","17.30970"
"2017M03","896","2.16648","6957570","1.46557","29057524","12.94460","1971505","5.16774","85718","5.16772","9796.30","12.76122"
"2017M04","896","2.16648","6959455","1.46796","29246060","18.74835","1515156","16.14974","84175","22.60221","9801.37","14.39521"
"2017M05","898","1.92963","6979078","1.47783","29767770","18.40242","1682238","20.13128","84112","26.13710","9993.66","21.34899"
"2017M06","900","2.15664","6989350","1.61385","30841184","20.81117","2012367","47.24180","87494","34.43862","10259.00","19.35426"
"2017M07","900","2.15664","6992918","1.69948","30951438","16.90405","1882992","21.81816","89666","16.01692","10425.90","17.14837"
"2017M08","901","2.38636","6980456","1.37567","31473498","17.71542","2417812","51.29301","105122","51.29168","10436.30","14.76344"
"2017M09","904","2.37826","7017988","1.31524","30942539","14.40820","2514053","93.46429","114275","67.08337","10500.60","15.00109"
"2017M10","904","2.14689","7028301","1.11552","32186004","17.18149","2156410","78.74618","113495","88.15484","10683.90","15.20595"
"2017M11","904","1.68729","7038506","0.77725","31555338","15.35827","2728135","84.90841","124006","84.90695","10743.30","18.07913"
"2017M12","907","1.68161","7055765","1.71236","31831936","16.82339","2284278","83.94021","108775","92.69948","10501.40","13.58685"
"2018M01","910","1.78971","7059944","1.52945","33277302","19.31237","2804863","171.39589","127494","97.38052","11005.40","17.68329"
"2018M02","913","2.12528","7064597","1.62361","32434099","12.45214","1651045","-6.92030","127003","28.87949","10717.90","10.79101"
"2018M03","914","2.00893","7068456","1.59375","32748478","12.70223","2605136","32.13946","113267","32.13911","10903.90","11.30631"
"2018M04","915","2.12054","7001431","0.60315","31872763","8.98139","2240188","47.85197","124455","47.85269","10795.80","10.14583"
"2018M05","916","2.00445","7008020","0.41470","32527569","9.27110","2906530","72.77757","132115","57.07033","10817.70","8.24563"
"2018M06","917","1.88889","7011180","0.31233","32436945","5.17412","3002152","49.18511","150108","71.56376","10986.50","7.09133"
"2018M07","918","2.00000","7007452","0.20784","33122335","7.01388","2919476","55.04452","132703","47.99701","10840.20","3.97376"
"2018M08","920","2.10877","7039420","0.84470","33241117","5.61621","2684248","11.01972","116706","11.01958","10909.40","4.53322"
"2018M09","920","1.76991","7062465","0.63376","33057519","6.83519","2254534","-10.32273","118660","3.83723","10883.80","3.64932"
"2018M10","919","1.65929","7069070","0.58007","29529636","-8.25318","2408401","11.68567","109473","-3.54377","10088.40","-5.57381"
"2018M11","923","2.10177","7073998","0.50425","29753786","-5.70918","2269848","-16.79855","103175","-16.79838","9821.37","-8.58144"
"2018M12","928","2.31533","7077846","0.31295","29318455","-7.89610","1862445","-18.46680","88688","-18.46656","9747.11","-7.18276"
"2019M01","929","2.08791","7081438","0.30445","29919880","-10.08923","1753638","-37.47866","83507","-34.50123","9764.72","-11.27337"
"2019M02","929","1.75246","7081637","0.24120","31286264","-3.53898","1473079","-10.77899","113314","-10.77849","10210.04","-4.73847"
"2019M03","932","1.96937","7081170","0.17987","32126556","-1.89909","2027589","-22.16955","101379","-10.49555","10445.22","-4.20656"
"2019M04","934","2.07650","7081690","1.14632","33106563","3.87102","2389277","6.65520","119464","-4.01028","10892.15","0.89251"
"2019M05","933","1.85590","7036739","0.40980","31717051","-2.49179","2329199","-19.86324","105873","-19.86300","10574.49","-2.24822"
"2019M06","932","1.63577","7040394","0.41668","32424467","-0.03847","1800335","-40.03185","94754","-36.87612","10620.02","-3.33571"
"2019M07","932","1.52505","7038020","0.43622","32706455","-1.25559","2465647","-15.54488","107202","-19.21660","10845.70","0.05071"
"2019M08","932","1.30435","7051185","0.16713","32117198","-3.38111","2390893","-10.92876","113852","-2.44546","10469.14","-4.03562"
"2019M09","936","1.73913","7078305","0.22428","32784558","-0.82572","2081127","-7.69148","109533","-7.69172","10815.76","-0.62516"
"2019M10","936","1.84984","7081474","0.17547","34388595","16.45452","2581163","7.17331","122913","12.27700","11139.82","10.42203"
"2019M11","937","1.51679","7078049","0.05727","34809137","16.99061","2569822","13.21560","122372","18.60625","11558.86","17.69090"
"2019M12","942","1.50862","7093414","0.21995","36413522","24.20000","2602858","39.75489","118312","33.40249","11854.08","21.61636"
"2020M01","941","1.29171","7082372","0.01319","34903347","16.65604","2172707","23.89712","144847","73.45492","11962.32","22.50554"
"2020M02","941","1.29171","7081811","0.00246","34302256","9.63999","2504341","70.00724","131807","16.32014","11623.70","13.84588"
"2020M03","942","1.07296","7102689","0.30389","29516732","-8.12357","3692185","82.09731","167827","65.54415","10138.09","-2.94041"
"2020M04","943","0.96360","7105980","0.34300","33428354","0.97199","3018263","26.32537","150913","26.32509","10329.48","-5.16587"
"2020M05","944","1.17899","7116218","1.12949","33289667","4.95827","3335500","43.20374","166775","57.52364","10876.94","2.86017"
"2020M06","944","1.28755","7116645","1.08305","35382676","9.12339","3677774","104.28276","183889","94.06991","11489.68","8.18882"
"2020M07","944","1.28755","7114953","1.09311","38521510","17.77953","4941150","100.39973","214833","100.40018","12256.21","13.00527"
"2020M08","946","1.50215","7135925","1.20178","38308658","19.27771","4588770","91.92703","218513","91.92724","12743.07","21.72030"
"2020M09","946","1.06838","7179609","1.43119","38112908","16.25262","4069786","95.55683","184990","68.88974","12653.02","16.98689"
"2020M10","945","0.96154","7177141","1.35095","38246435","11.21837","3166657","22.68334","166666","35.59672","12817.76","15.06259"
"2020M11","944","0.74707","7175091","1.37103","41811949","20.11774","4542467","76.76193","216308","76.76266","13393.84","15.87510"
"2020M12","948","0.63694","7186073","1.30627","44903833","23.31637","5944692","128.39095","258465","118.46051","14276.88","20.43853"
"2021M01","947","0.63762","7172605","1.27405","46130751","32.16713","7076553","225.70213","353828","144.27706","15552.20","30.00986"
"2021M02","947","0.63762","7182228","1.41796","48626585","41.75915","4291413","71.35897","330109","150.44876","16080.79","38.34479"
"2021M03","950","0.84926","7191427","1.24936","50160374","69.93878","6746920","82.73516","306678","82.73460","16150.15","59.30172"
"2021M04","951","0.84836","7197724","1.29108","53642018","60.46862","8243894","173.13372","433889","187.50936","17114.84","65.68928"
"2021M05","953","0.95339","7207073","1.27673","52150240","56.65594","10662581","219.66964","507742","204.44731","16504.42","51.73767"
"2021M06","953","0.95339","7215234","1.38533","54314186","53.50503","9871431","168.40777","470068","155.62595","17282.82","50.42042"
"2021M07","952","0.84746","7218672","1.45776","52893642","37.30937","12084042","144.55930","549275","155.67534","17656.94","44.06525"
"2021M08","952","0.63425","7227706","1.28618","53645503","40.03493","7876234","71.64151","358011","63.83968","17131.01","34.43397"
"2021M09","954","0.84567","7254599","1.04449","52052841","36.57536","5789722","42.26109","289486","56.48738","17281.23","36.57791"
"2021M10","956","1.16402","7305877","1.79369","52279397","36.69090","5672498","79.13206","283625","70.17568","16723.56","30.47177"
"2021M11","957","1.37712","7321192","2.03623","53669424","28.35906","7694369","69.38745","349744","61.68796","17489.18","30.57629"
"2021M12","959","1.16034","7352762","2.31961","56282019","25.33901","6280308","5.64564","285469","10.44784","17845.35","24.99475"
"2022M01","962","1.58395","7363226","2.65763","54797507","18.78737","4993894","-29.43042","277439","-21.58930","18232.86","17.23653"
"2022M02","962","1.58395","7364497","2.53778","54742677","12.57767","4404258","2.62955","293617","-11.05453","18056.18","12.28416"
"2022M03","963","1.36842","7369660","2.47841","54895524","9.44002","7121413","5.55058","309627","0.96159","17474.73","8.20166"
"2022M04","963","1.26183","7382342","2.56495","51493080","-4.00607","4861331","-41.03113","255860","-41.03100","16998.78","-0.67812"
