location,district,address,longitude,latitude,link
萬慶公園,文山區,臺北市文山區育英街45巷旁,121.53773,24.9937,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=8BEBE589822A3013"">連結</a>"
新新公園,南港區,臺北市南港路3段47巷26號,121.59052,25.05173,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E5D8BCD9895C9B61"">連結</a>"
興隆國小,文山區,臺北市文山區福興路2號,121.55193,25.0024,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=954CDBCCFE03E44F"">連結</a>"
華中河濱公園,萬華區,臺北市萬華區環河南路3段與武成街63巷交叉口附近,121.49372,25.01852,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=5073BE013EDE59FD"">連結</a>"
南港公園,南港區,臺北市南港區東新街170之1號,121.59059,25.04241,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=A0AC2F7E195386D2"">連結</a>"
前港公園,士林區,臺北市士林區前港街134巷旁,121.52094,25.08651,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=8E87AD00FBD0CDA4"">連結</a>"
中央藝文公園,中正區,臺北市中正區北平東路30號前,121.52791,25.04607,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=6A692C83A2717DA3"">連結</a>"
大佳河濱公園(第2期),中山區,臺北市中山區濱江街,121.52962,25.07518,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E36701083960C759"">連結</a>"
臺北市立臺北特殊教育學校,士林區,臺北市士林區忠誠路2段207巷3號,121.5361,25.11658,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=9AB18CB6CB4EBEA5"">連結</a>"
芝山國小,士林區,臺北市士林區德行東路285號,121.53648,25.1106,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=A571C856159C2696"">連結</a>"
