ScientificName,Kingdom,Kingdom_C,Phylum,Phylum_C,Class,Orders,Order_C,Family,Family_C,Genus,Collector,ForestConservation,Latitude,Longitude
Athyma asura baelia,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Athyma,范義彬,0,24.66,121.61
Zizina otis riukuensis,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Zizina,范義彬,0,0.00,0.00
Lampides boeticus,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Lampides,范義彬,0,0.00,0.00
Zizeeria maha maha,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Zizeeria,范義彬,0,0.00,0.00
Euchrysops cnejus,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Euchrysops,范義彬,0,0.00,0.00
Spindasis lohita formosanus,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Spindasis,范義彬,0,0.00,0.00
Tongeia hainani,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Tongeia,范義彬,0,21.95,120.79
Udara albocaerulea albocaerulea,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Udara,莊鈴木,0,0.00,0.00
Rapala nissa hirayamana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Rapala,范義彬,0,0.00,0.00
Chrysozephyrus rarasanus,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Chrysozephyrus,,0,0.00,0.00
Mythimna undicilia,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Noctuidae,夜蛾科,Mythimna,范義彬,0,0.00,0.00
Ladoga sulpitia tricula,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Ladoga,陳永杰,0,0.00,0.00
Athyma perius perius,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Athyma,穆佳宏,0,0.00,0.00
Mythimna roseilinea,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Noctuidae,夜蛾科,Mythimna,未知,0,0.00,0.00
Precis lemonias lemonias,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Precis,,0,24.83,121.38
Megisha malaya sikkima,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Megisha,范義彬,0,0.00,0.00
Satarupa formosibia,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Hesperiidae,弄蝶科,Satarupa,范義彬,0,0.00,0.00
Phengaris atroguttata formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Phengaris,穆佳宏,0,24.50,121.53
Caltoris cahira austeni,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Hesperiidae,弄蝶科,Caltoris,陳永杰,0,0.00,0.00
Hasora taminatus vairacana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Hesperiidae,弄蝶科,Hasora,陳永杰,0,0.00,0.00
Pithecops fnlgehs urai,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Pithecops,范義彬,0,0.00,0.00
Polyura narcaea meghaduta,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Polyura,穆佳宏,0,0.00,0.00
Lethe gemina zaitha,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Lethe,陳永杰,0,0.00,0.00
Lethe chandica ratnacri,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Lethe,,0,0.00,0.00
Deudorix eryx horiella,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Deudorix,,0,0.00,0.00
Sephisa chandra androdamas,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Sephisa,未知,0,0.00,0.00
Cynthia cardui,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Cynthia,張玉珍,0,24.16,121.02
Junonia atlites,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Junonia,沈勇強,0,0.00,0.00
Abisara burnii etymander,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,灰蝶科,Abisara,范義彬,0,23.90,120.88
Euploea eunice hobsoni,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Euploea,,0,0.00,0.00
Neptis soma tayalina,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Neptis,范義彬,0,24.30,120.00
Helcyra superba takamukui,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Helcyra,張玉珍,0,23.99,120.91
Argyreus hyperbius hyperbius,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Argyreus,未知,0,0.00,0.00
Polygonia c-aureum lunulata,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Polygonia,未知,0,0.00,0.00
Lethe dura neoclides,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Lethe,范義彬,0,23.46,120.89
Lethe butleri periscelis,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Lethe,范義彬,0,22.97,120.68
Lethe europa pavida,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Lethe,未知,0,0.00,0.00
