資料日期,代號,名稱,成交股數,成交筆數,成交金額,成交價格,未成交買價,未成交買量,未成交賣價,未成交賣量
"1110628","8932","宏大","0","0","0","0.00","24.95","1277","25.30","1608"
"1110628","8933","愛地雅","516","11","6291","12.20","12.20","4239","12.30","1298"
"1110628","8935","邦泰","45","2","530","11.80","11.70","2151","11.80","2709"
"1110628","8936","國統","331","15","6088","18.40","18.40","5879","18.45","1001"
"1110628","8937","合騏","0","0","0","0.00","13.85","2218","14.45","132"
"1110628","8938","明安","745","8","57886","77.70","77.70","2437","79.00","136"
"1110628","8941","關中","173","1","7127","41.20","41.00","2581","41.20","292"
"1110628","8942","森鉅","53","2","3381","63.80","63.80","1801","64.50","272"
"1110628","9949","琉園","999","8","19980","20.00","19.65","200","20.00","2426"
"1110628","9950","萬國通","0","0","0","0.00","13.45","674","13.90","50"
"1110628","9951","皇田","0","0","0","0.00","66.50","1299","67.30","2083"
"1110628","9960","邁達康","0","0","0","0.00","26.10","1199","26.55","316"
"1110628","9962","有益","837","4","11131","13.30","13.30","2443","13.45","452"
