項次,行政區,分局,名稱,里別,地址,地下層數位址,容納人數,座標X,座標Y,場所名稱,,
1032,文山區,文山第一分局,公有建築物,樟新里,臺北市文山區一壽街22號,2,2320,121.556273,24.979711,臺北市立圖書館,,
1033,文山區,文山第一分局,公有建築物,樟新里,臺北市文山區樟新街2號,3,1118,121.554861,24.980006,消防局-寶僑分隊,,
1034,文山區,文山第一分局,公有建築物,試院里,臺北市文山區木柵路一段72號,2,5009,121.549336,24.987193,考選部-國家考場,,
1035,文山區,文山第一分局,公有建築物,試院里,臺北市文山區木柵路一段78號,2,740,121.550284,24.987373,考選部-第三試務大樓,,
1036,文山區,文山第一分局,公有建築物,試院里,臺北市文山區木柵路一段54號,1,498,121.547014,24.986813,復興派出所,,
1037,文山區,文山第一分局,公有建築物,試院里,臺北市文山區和興路71之1號,1,654,121.548848,24.985303,經濟部-總務司檔案科,,
1038,文山區,文山第一分局,公有建築物,試院里,臺北市文山區和興路44巷16號,1,2446,121.546091,24.984379,經濟部,,
1039,文山區,文山第一分局,公有建築物,試院里,臺北市文山區和興路84巷18號,1,2100,121.546259,24.985647,經濟部,,
1040,文山區,文山第一分局,公有建築物,試院里,臺北市文山區試院路1之2號,1,102,121.548711,24.988669,銓敘部-銓衡樓,,
1041,文山區,文山第一分局,公有建築物,試院里,臺北市文山區試院路1號,1,237,121.549295,24.987486,考選部-第一試務大樓,,
1042,文山區,文山第一分局,公有建築物,試院里,臺北市文山區試院路1之2號,1,665,121.548711,24.988669,銓敘部-中正樓,,
1043,文山區,文山第一分局,公有建築物,試院里,臺北市文山區試院路1號,1,1100,121.549295,24.987486,考試院玉衡樓,,
1044,文山區,文山第一分局,公有建築物,試院里,臺北市文山區試院路1之2號,1,630,121.548711,24.988669,銓敘部-中興樓,,
1045,文山區,文山第一分局,公有建築物,試院里,臺北市文山區試院路1之1號,1,2592,121.548953,24.98794,考選部-行政大樓,,
1046,文山區,文山第一分局,公有建築物,試院里,臺北市文山區試院路1號,3,14410,121.549295,24.987486,考試院傳賢樓,,
1047,文山區,文山第一分局,公有建築物,華興里,臺北市文山區試院路12之1號,1,106,121.549499,24.988658,考試院員工餐廳及宿舍,,
1048,文山區,文山第一分局,公有建築物,華興里,臺北市文山區試院路2號,1,286,121.550057,24.987601,同心華德福實驗教育機構地下停車場,,
1049,文山區,文山第一分局,公有建築物,華興里,臺北市文山區試院路2號,1,120,121.550057,24.987601,同心華德福實驗教育機構,,
1050,文山區,文山第一分局,公有建築物,華興里,臺北市文山區試院路2號,1,289,121.550057,24.987601,同心華德福實驗教育機構,,
1051,文山區,文山第一分局,公有建築物,樟林里,臺北市文山區辛亥路七段67號,1,288,121.554738,24.983436,實踐國中-活動中心,,
1052,文山區,文山第一分局,公有建築物,樟林里,臺北市文山區辛亥路七段67號,1,109,121.554738,24.983436,實踐國中-活動中心,,
1053,文山區,文山第一分局,公有建築物,樟林里,臺北市文山區辛亥路七段67號,1,230,121.554738,24.983436,實踐國中-活動中心,,
1054,文山區,文山第一分局,公有建築物,樟林里,臺北市文山區辛亥路七段67號,1,484,121.554738,24.983436,實踐國中-活動中心,,
1055,文山區,文山第一分局,公有建築物,樟林里,臺北市文山區辛亥路七段67號,1,226,121.554738,24.983436,實踐國中-活動中心,,
1056,文山區,文山第一分局,公有建築物,樟林里,臺北市文山區辛亥路七段67號,1,2360,121.554738,24.983436,實踐國中-活動中心,,
1057,文山區,文山第一分局,公有建築物,樟林里,臺北市文山區辛亥路七段38號,1,2760,121.553954,24.985765,台電南區營業處-材料大樓,,
1058,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,129,121.576504,24.987418,國立政治大學-校友服務中心,,
1059,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,248,121.576504,24.987418,國立政治大學-自強五、六舍,,
1060,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,297,121.576504,24.987418,國立政治大學-自強七、八舍,,
1061,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,652,121.576504,24.987418,國立政治大學-學思樓,,
1062,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,3542,121.576504,24.987418,國立政治大學-研究大樓,,
1063,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,554,121.576504,24.987418,國立政治大學-集英樓,,
1064,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,126,121.576504,24.987418,國立政治大學-莊敬二舍,,
1065,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,2097,121.576504,24.987418,國立政治大學-行政大樓,,
1066,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,1225,121.576504,24.987418,國立政治大學-電子計算機中心,,
1067,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,914,121.576504,24.987418,國立政治大學-綜合院館,,
1068,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,1002,121.576504,24.987418,國立政治大學-商學院,,
1069,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,1061,121.576504,24.987418,國立政治大學-逸仙樓,,
1070,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,362,121.576504,24.987418,國立政治大學-莊敬三舍,,
1071,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,961,121.576504,24.987418,國立政治大學-自強十舍,,
1072,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,338,121.576504,24.987418,國立政治大學-自強一、二、三舍,,
1073,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,1861,121.576504,24.987418,國立政治大學-道藩樓,,
1074,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,1486,121.576504,24.987418,國立政治大學-國際大樓,,
1075,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,956,121.576504,24.987418,國立政治大學-自強九舍,,
1076,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,188,121.576504,24.987418,國立政治大學-莊敬九舍,,
1077,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,2686,121.576504,24.987418,國立政治大學-藝文中心,,
1078,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,4060,121.576504,24.987418,國立政治大學-體育館,,
1079,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,194,121.576504,24.987418,國立政治大學-莊敬一舍,,
1080,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,3490,121.576504,24.987418,國立政治大學-中正圖書館,,
1081,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,6685,121.576504,24.987418,國立政治大學-研究暨創新育成總中心,,
1082,文山區,文山第一分局,公有建築物,萬興里,臺北市文山區指南路二段64號,1,1066,121.576504,24.987418,國立政治大學-資訊大樓,,
1083,文山區,文山第一分局,公有建築物,政大里,臺北市文山區萬壽路36號,2,5390,121.578159,24.988583,國立政治大學-達賢圖書館,,
1084,文山區,文山第一分局,公有建築物,博嘉里,臺北市文山區木柵路四段159巷14號,1,492,121.57581,25.002082,博嘉國小,,
1085,文山區,文山第一分局,公有建築物,博嘉里,臺北市文山區木柵路四段77號,1,620,121.571876,24.995888,木柵高工,,
1086,文山區,文山第一分局,公有建築物,萬美里,臺北市文山區萬和街1號,1,1396,121.567572,25.001315,萬芳國小-鳥語、綠水、青山樓,,
1087,文山區,文山第一分局,公有建築物,萬美里,臺北市文山區萬和街1號,1,1726,121.567572,25.001315,萬芳國小-活動中心,,
1088,文山區,文山第一分局,公有建築物,萬美里,臺北市文山區萬和街1號,1,1298,121.567572,25.001315,萬芳國小-和風樓,,
1089,文山區,文山第一分局,公有建築物,萬美里,臺北市文山區萬和街1號,1,829,121.567572,25.001315,萬芳國小-旭日樓,,
1090,文山區,文山第一分局,公有建築物,萬美里,臺北市文山區萬美街一段52號,1,270,121.566683,25.002206,萬芳派出所,,
1091,文山區,文山第一分局,供公眾使用建築物,博嘉里,臺北市文山區木柵路四段159巷16號,2,1422,121.575592,25.00102,博嘉運動中心,,
1092,文山區,文山第一分局,地下停車場,萬興里,臺北市文山區秀明路二段116號,1、2,15022,121.576676,24.989609,萬興國小地下停車場,,
1093,文山區,文山第一分局,地下停車場,華興里,臺北市文山區木柵路一段311巷1號,1、2,8406,121.55588,24.989186,永建國小地下停車場,,
1094,文山區,文山第一分局,地下停車場,明義里,臺北市文山區興隆路四段105巷45號,1、2,6886,121.562513,24.988167,興隆D2區公共住宅地下停車場,,
1095,文山區,文山第二分局,公有建築物,景行里,臺北市文山區景文街108號,1,1064,121.54079,24.989491,景美國小-忠孝樓,,
1096,文山區,文山第二分局,公有建築物,景行里,臺北市文山區景文街108號,1,338,121.54079,24.989491,景美國小-仁愛樓,,
1097,文山區,文山第二分局,公有建築物,景行里,臺北市文山區景文街142巷2號,1,10822,121.540302,24.988516,景美國小停車場,,
1098,文山區,文山第二分局,公有建築物,景行里,臺北市文山區景中街2號,1,1197,121.541098,24.992763,文山第二分局,,
1099,文山區,文山第二分局,供公眾使用建築物,景美里,臺北市文山區羅斯福路六段336號,1,382,121.539165,24.989781,滬江高中-資訊樓,,
1100,文山區,文山第二分局,供公眾使用建築物,景美里,臺北市文山區羅斯福路六段336號,1,306,121.539165,24.989781,滬江高中-信義樓,,
1101,文山區,文山第二分局,供公眾使用建築物,景美里,臺北市文山區羅斯福路六段336號,1,884,121.539165,24.989781,滬江高中-嵩慶樓,,
1102,文山區,文山第二分局,供公眾使用建築物,景美里,臺北市文山區羅斯福路六段336號,1,578,121.539165,24.989781,滬江高中-勤愛樓,,
1103,文山區,文山第二分局,供公眾使用建築物,景美里,臺北市文山區羅斯福路路六段336號,1,1624,121.539165,24.989781,滬江高中-中正堂,,
1104,文山區,文山第二分局,公有建築物,景華里,臺北市文山區景興路44號,1,2274,121.544838,24.99709,景興國中-大成樓,,
1105,文山區,文山第二分局,公有建築物,景華里,臺北市文山區景興路44號,1,1662,121.544838,24.99709,景興國中-莊敬樓,,
1106,文山區,文山第二分局,公有建築物,景慶里,臺北市文山區景福街225號,1,1921,121.538745,24.994114,溪口國小-敬業樓,,
1107,文山區,文山第二分局,公有建築物,景慶里,臺北市文山區景福街225號,1,1154,121.538745,24.994114,溪口國小-勤學樓,,
1108,文山區,文山第二分局,公有建築物,萬年里,臺北市文山區汀州路四段88號,1,1762,121.537176,25.007839,師範大學科學教育大樓,,
1109,文山區,文山第二分局,公有建築物,萬年里,臺北市文山區汀州路四段88號,1,2284,121.537176,25.007839,師範大學-理學院,,
1110,文山區,文山第二分局,公有建築物,萬年里,臺北市文山區汀州路四段88號,1,1078,121.537176,25.007839,師範大學-體育運動大樓,,
1111,文山區,文山第二分局,公有建築物,萬年里,臺北市文山區汀州路四段88號,1,918,121.537176,25.007839,師範大學-研究生宿舍,,
1112,文山區,文山第二分局,公有建築物,萬年里,臺北市文山區汀州路四段88號,1,1420,121.537176,25.007839,師範大學-誠樓,,
1113,文山區,文山第二分局,公有建築物,萬年里,臺北市文山區汀州路四段88號,1,938,121.537176,25.007839,師範大學-應用科學大樓,,
1114,文山區,文山第二分局,公有建築物,萬年里,臺北市文山區汀州路四段88號,2,1346,121.537176,25.007839,師範大學-教學研究大樓,,
1115,文山區,文山第二分局,公有建築物,萬祥里,臺北市文山區興隆路一段68號,1,20542,121.54049,25.003889,武功國民小學-行政大樓及樂美樓,,
1116,文山區,文山第二分局,公有建築物,興光里,臺北市文山區興隆路三段153號,1,200,121.559304,24.998048,臺灣警察專科學校-思源廳,,
1117,文山區,文山第二分局,公有建築物,興光里,臺北市文山區興隆路三段153號,1,4901,121.559304,24.998048,臺灣警察專科學校-中正堂,,
1118,文山區,文山第二分局,公有建築物,興光里,臺北市文山區興隆路三段153號,1,1697,121.559304,24.998048,臺灣警察專科學校-莊敬樓,,
1119,文山區,文山第二分局,公有建築物,興光里,臺北市文山區興隆路三段115巷1號,1,1778,121.558781,25.000558,萬芳高中-活動中心,,
1120,文山區,文山第二分局,公有建築物,興光里,臺北市文山區興隆路三段115巷1號,1,546,121.558781,25.000558,萬芳高中-行政大樓,,
1121,文山區,文山第二分局,公有建築物,興旺里,臺北市文山區福興路2號,1,1790,121.551916,25.002416,興隆國小-行政大樓,,
1122,文山區,文山第二分局,公有建築物,興旺里,臺北市文山區福興路2號,1,405,121.551916,25.002416,興隆國小-活動中心,,
1123,文山區,文山第二分局,公有建築物,興旺里,臺北市文山區福興路2號,1,538,121.551916,25.002416,興隆國小-和平樓,,
1124,文山區,文山第二分局,公有建築物,興旺里,臺北市文山區福興路80號,1,573,121.549743,25.004899,興福國中-行政大樓,,
1125,文山區,文山第二分局,公有建築物,興旺里,臺北市文山區福興路80號,1,573,121.549743,25.004899,興福國中-南樓,,
1126,文山區,文山第二分局,公有建築物,興旺里,臺北市文山區福興路80號,1,1533,121.549743,25.004899,興福國中-北樓,,
1127,文山區,文山第二分局,公有建築物,興昌里,臺北市文山區辛亥路四段103號,1,2030,121.558549,25.006285,辛亥國小-行政大樓,,
1128,文山區,文山第二分局,供公眾使用建築物,景美里,臺北市文山區羅斯福路六段276巷1號,1,54,121.539644,24.991354,景美醫院,,
1129,文山區,文山第二分局,供公眾使用建築物,興光里,臺北市文山區興隆路三段111-1號,3,10412,121.557849,25.000833,萬芳醫院-第一大樓,,
1130,文山區,文山第二分局,供公眾使用建築物,興光里,臺北市文山區興隆路三段111-1號,2,10460,121.557849,25.000833,萬芳醫院-第二大樓,,
1131,文山區,文山第二分局,公有建築物,萬盛里,臺北市文山區興隆路一段15號,1,13605,121.540353,25.004286,花木批發市場,,
1132,文山區,文山第二分局,捷運車站,萬隆里,臺北市文山區羅斯福路五段214號,1、2,15630,121.538556,25.00252,捷運萬隆站,,
1133,文山區,文山第二分局,捷運車站,景行里,臺北市文山區羅斯福路六段393號,1、2,18573,121.540741,24.9921,捷運景美站,,
1134,文山區,文山第二分局,地下停車場,景華里,臺北市文山區景華街55號,1、2,34296,121.543766,24.995183,景華公園地下停車場,,
1135,文山區,文山第二分局,地下停車場,興昌里,臺北市文山區辛亥路四段103號,1、2,7186,121.558549,25.006285,辛亥國小地下停車場,,
1136,文山區,文山第二分局,地下停車場,興業里,臺北市文山區仙岩路128號,1、2,14699,121.551323,25.000705,興隆公園地下停車場,,
1137,南港區,南港分局,公有建築物,萬福里,臺北市南港區同德路87號,1,10078,121.586157,25.046506,臺北市立聯合醫院忠孝院區,,
1138,南港區,南港分局,公有建築物,成福里,臺北市南港區同德路100號,1,3112,121.586755,25.046147,成德市場,,
1139,南港區,南港分局,公有建築物,成福里,臺北市南港區東新街118巷86號,1,5984,121.589639,25.045545,修德國小,,
1140,南港區,南港分局,公有建築物,新光里,臺北市南港區昆陽街161之1號,1,69,121.594514,25.049296,食品藥物管理署-區管大樓,,
1141,南港區,南港分局,公有建築物,新光里,臺北市南港區昆陽街161號,1,62,121.594372,25.049143,行政院衛生福利部疾病管制署,,
1142,南港區,南港分局,公有建築物,新光里,臺北市南港區昆陽街161之2號,1,1878,121.594438,25.048898,食品藥物管理署-昆陽大樓,,
1143,南港區,南港分局,公有建築物,新光里,臺北市南港區忠孝東路六段488號,1,3942,121.595384,25.05012,衛生福利部,,
1144,南港區,南港分局,公有建築物,聯成里,臺北市南港區東新街65號,1,462,121.586873,25.046893,成德國小(忠孝樓),,
1145,南港區,南港分局,公有建築物,聯成里,臺北市南港區東新街65號,1,305,121.586873,25.046893,成德國小(忠孝樓),,
1146,南港區,南港分局,公有建築物,聯成里,臺北市南港區東新街65號,1,293,121.586873,25.046893,成德國小(仁愛樓),,
1147,南港區,南港分局,公有建築物,聯成里,臺北市南港區東新街65號,1,648,121.586873,25.046893,成德國小(信義樓),,
1148,南港區,南港分局,公有建築物,聯成里,臺北市南港區東新街65號,1,305,121.586873,25.046893,成德國小(和平樓),,
1149,南港區,南港分局,公有建築物,聯成里,臺北市南港區東新街65號,1,1701,121.586873,25.046893,成德國小(四維樓),,
1150,南港區,南港分局,公有建築物,聯成里,臺北市南港區東新街63巷11號,1,776,121.586746,25.047888,消防局-成德分隊,,
1151,南港區,南港分局,公有建築物,三重里,臺北市南港區三重路19號之3,2,35198,121.61287,25.05656,南港軟體工業園區管理委員會,,
1152,南港區,南港分局,公有建築物,三重里,臺北市南港區惠民街67號,1,5594,121.610426,25.057483,南港國小,,
1153,南港區,南港分局,公有建築物,三重里,臺北市南港區園區街3號,2,33608,121.611987,25.058478,南港軟體工業園區第1期,,
1154,南港區,南港分局,公有建築物,三重里,臺北市南港區經貿二路2號,2、3,48196,121.616344,25.056311,台北南港展覽館2館,,
1155,南港區,南港分局,公有建築物,三重里,臺北市南港區經貿二路239號,3,1045,121.614616,25.060866,南港派出所,,
1156,南港區,南港分局,公有建築物,中南里,臺北市南港區忠孝東路七段574號,1,4457,121.613772,25.052717,國家文官學院,,
1157,南港區,南港分局,公有建築物,中南里,臺北市南港區研究院路一段130巷99號,1,2596,121.612483,25.049043,中央研究院,,
1158,南港區,南港分局,公有建築物,中南里,臺北市南港區研究院路一段130巷99號,1,26832,121.612483,25.049043,中央研究院,,
1159,南港區,南港分局,公有建築物,南港里,臺北市南港區南港路一段360號,1,1324,121.606758,25.054528,南港區公所,,
1160,南港區,南港分局,公有建築物,南港里,臺北市南港區南港路一段360號,2,1253,121.606758,25.054528,南港區公所,,
1161,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路6號,1,442,121.607339,25.05467,消防局-南港分隊,,
1162,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路12巷2號,2,517,121.60717,25.054948,南港分局警備隊,,
1163,南港區,南港分局,公有建築物,南港里,臺北市南港區重陽路366號,1,6140,121.609168,25.058684,育成高中,,
1164,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路29號,1,2288,121.607192,25.056335,南港高工-停車場,,
1165,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路29號,1,1284,121.607192,25.056335,南港高工-特教大樓,,
1166,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路29號,1,1100,121.607192,25.056335,南港高工-模具工廠,,
1167,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路29號,1,417,121.607192,25.056335,南港高工-教室大樓,,
1168,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路29號,1,282,121.607192,25.056335,南港高工-建教大樓,,
1169,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路29號,1,2352,121.607192,25.056335,南港高工-綜合大樓,,
1170,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路29號,1,690,121.607192,25.056335,南港高工-電子工廠,,
1171,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路29號,1,2658,121.607192,25.056335,南港高工-特教大樓,,
1172,南港區,南港分局,公有建築物,南港里,臺北市南港區興中路29號,1,432,121.607192,25.056335,南港高工-電機工廠,,
1173,南港區,南港分局,公有建築物,新富里,臺北市南港區富康街1巷24號,1,772,121.618745,25.054112,誠正國中-勤學樓、博愛樓,,
1174,南港區,南港分局,公有建築物,新富里,臺北市南港區富康街1巷24號,1,1421,121.618745,25.054112,誠正國中-莊敬樓、有恆樓、敬業樓,,
1175,南港區,南港分局,公有建築物,新富里,臺北市南港區富康街1巷24號,1,37,121.618745,25.054112,誠正國中-司令台,,
1176,南港區,南港分局,公有建築物,新富里,臺北市南港區富康街1巷24號,1,1830,121.618745,25.054112,誠正國中-誠正樓,,
1177,南港區,南港分局,公有建築物,新富里,臺北市南港區富康街1巷24號,1,513,121.618745,25.054112,誠正國中-自強樓,,
1178,南港區,南港分局,公有建築物,新富里,臺北市南港區富康街1巷24號,1,1445,121.618745,25.054112,誠正國中-活動中心,,
1179,南港區,南港分局,公有建築物,萬福里,臺北市南港區忠孝東路六段6號,1,1100,121.583305,25.045255,豐福天廈大樓,,
1180,南港區,南港分局,公有建築物,舊莊里,臺北市南港區舊莊街一段213號,1,64,121.622533,25.038491,舊莊派出所,,
1181,南港區,南港分局,公有建築物,中研里,臺北市南港區舊莊街一段1號,1,1096,121.61721,25.042399,胡適國小,,
1182,南港區,南港分局,公有建築物,中研里,臺北市南港區舊莊街一段1號,1,3005,121.61721,25.042399,胡適國小,,
1183,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段61巷2弄8號,1,858,121.61702,25.04364,中央研究院,,
1184,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段61巷3弄18號,1,1673,121.617819,25.043562,中央研究院,,
1185,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段61巷2弄19號,1,1560,121.617444,25.044291,中央研究院,,
1186,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段61巷4弄2號,1,1482,121.616991,25.042743,中央研究院,,
1187,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段61巷65號,1,2422,121.61614,25.04405,中央研究院,,
1188,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段42號,1,1332,121.615078,25.046703,中央研究院,,
1189,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段56號,1,1538,121.614949,25.046175,中央研究院,,
1190,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,660,121.616663,25.04202,中央研究院-生物化學研究所,,
1191,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,1196,121.616663,25.04202,中央研究院-行政大樓-家驊館,,
1192,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,650,121.616663,25.04202,中央研究院-臺灣考古館,,
1193,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,1697,121.616663,25.04202,中央研究院-分子生物研究所,,
1194,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,660,121.616663,25.04202,中央研究院,,
1195,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,1229,121.616663,25.04202,中央研究院-植物暨微生物研究所,,
1196,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,1854,121.616663,25.04202,中央研究院-經濟研究所,,
1197,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,624,121.617196,25.039985,中央研究院-傅斯年,,
1198,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,637,121.617196,25.039985,中央研究院-地球科學研究所,,
1199,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,829,121.617196,25.039985,中央研究院-化學研究所,,
1200,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,2416,121.617196,25.039985,中央研究院-基因體研究中心,,
1201,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,829,121.617196,25.039985,中央研究院-歐美研究所,,
1202,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,829,121.617196,25.039985,中央研究院-近代史研究大樓,,
1203,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,829,121.617196,25.039985,中央研究院-資創中心,,
1204,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,829,121.617196,25.039985,中央研究院-歷史文物列館,,
1205,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,829,121.617196,25.039985,中央研究院-歷史語言研究所檔案館,,
1206,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,829,121.616663,25.04202,中央研究院-統計科學研究所,,
1207,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段130號,1,978,121.617196,25.039985,中央研究院-中國文哲研究所,,
1208,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,3,1756,121.616663,25.04202,中央研究院-學術活動中心,,
1209,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,2,1906,121.616663,25.04202,中央研究院-地球科學研究所,,
1210,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,2,4029,121.616663,25.04202,中央研究院-綜合體育館,,
1211,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,8916,121.616663,25.04202,中央研究院-人文社會科學聯合圖書館,,
1212,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段86號,1,822,121.615362,25.045085,消防局-舊莊分隊,,
1213,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,650,121.616663,25.04202,中央研究院,,
1214,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段70巷28號,1,9180,121.613992,25.045304,中央研究院-跨領域大樓,,
1215,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段128號,1,3356,121.616663,25.04202,中央研究院-環境變遷研究中心,,
1216,南港區,南港分局,公有建築物,中研里,臺北市南港區研究院路二段70巷12號,1,1254,121.614546,25.045514,中研市場,,
1217,南港區,南港分局,公有建築物,玉成里,臺北市南港區八德路四段768之1號,2,452,121.57996,25.050304,玉成綜合大樓,,
1218,南港區,南港分局,公有建築物,合成里,臺北市南港區玉成街69號,4,2738,121.58179,25.048819,南港運動中心,,
1219,南港區,南港分局,公有建築物,西新里,臺北市南港區向陽路21號,1,232,121.595048,25.052482,南港國中-合作社,,
1220,南港區,南港分局,公有建築物,西新里,臺北市南港區向陽路21號,1,2161,121.595048,25.052482,南港國中-體育館,,
1221,南港區,南港分局,公有建築物,西新里,臺北市南港區向陽路21號,1,258,121.595048,25.052482,南港國中-行政大樓,,
1222,南港區,南港分局,公有建築物,西新里,臺北市南港區向陽路31號,1,600,121.594757,25.053615,玉成國小-四維樓,,
1223,南港區,南港分局,公有建築物,東明里,臺北市南港區向陽路80號,1,2528,121.595726,25.052322,臺灣電力公司-電力修護處,,
1224,南港區,南港分局,公有建築物,東明里,臺北市南港區南港路二段59號,1,1430,121.598849,25.053477,交通部電信總局,,
1225,南港區,南港分局,公有建築物,東明里,臺北市南港區南港路二段157號,1,1124,121.595202,25.05393,臺灣電力公司,,
1226,南港區,南港分局,公有建築物,東明里,臺北市南港區市民大道八段99號,1,24644,121.598507,25.052638,臺北流行音樂中心,,
1227,南港區,南港分局,公有建築物,東明里,臺北市南港區南港路二段60巷12號,1,1825,121.603845,25.054386,東明公宅,,
1228,南港區,南港分局,公有建築物,東明里,臺北市南港區南港路二段78號,1,2657,121.603509,25.05394,南港郵局,,
1229,南港區,南港分局,公有建築物,東明里,臺北市南港區南港路二段38巷8弄1號,1,720,121.604282,25.055062,東明公宅,,
1230,南港區,南港分局,公有建築物,東明里,臺北市南港區南港路二段38巷6號,2,5061,121.604815,25.054628,東明公宅,,
1231,南港區,南港分局,公有建築物,重陽里,臺北市南港區向陽路150號,1,14796,121.594897,25.055226,南港分局,,
1232,南港區,南港分局,供公眾使用建築物,萬福里,臺北市南港區忠孝東路六段114號,2,1797,121.584847,25.047546,教會_天主教,,
1233,南港區,南港分局,供公眾使用建築物,聯成里,臺北市南港區東新街67號,3,800,121.588055,25.046654,教會,,
1234,南港區,南港分局,供公眾使用建築物,三重里,臺北市南港區經貿二路166號,1,9897,121.616125,25.058395,中國信託金融園區,,
1235,南港區,南港分局,供公眾使用建築物,三重里,臺北市南港區經貿二路186號,1,13570,121.615185,25.059222,中國信託金融園區,,
1236,南港區,南港分局,供公眾使用建築物,中南里,臺北市南港區忠孝東路七段526號,1,1017,121.611284,25.052387,洛基飯店,,
1237,南港區,南港分局,供公眾使用建築物,南港里,臺北市南港區南港路一段209號,4,8025,121.611418,25.055045, 聯華南港大樓,,
1238,南港區,南港分局,供公眾使用建築物,南港里,臺北市南港區南港路一段364號,1,1674,121.606405,25.054469,土地銀行,,
