"id","spot_name","type","company","district","address","apparatus_name","latitude","longitude"
"240","新北市三芝區公所","NewTaipei","中華電信","三芝區","新北市三芝區中山路1段32號1樓","新北市三芝區公所","25.257766","121.500872"
"241","新北市三芝區衛生所","NewTaipei","中華電信","三芝區","新北市三芝區中山路1段12號1樓","新北市政府衛生局","25.258357","121.500569"
"328","新北市立圖書館三芝分館-1","NewTaipei","中華電信","三芝區","新北市三芝區淡金路1段37號2樓","新北市立圖書館","25.259359","121.501195"
"329","新北市立圖書館三芝分館-2","NewTaipei","中華電信","三芝區","新北市三芝區淡金路1段37號1樓","新北市立圖書館","25.259359","121.501195"
