"yearmonth","organ","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10"
"103年9月","三重分局","","","","","","","","","",""
"103年9月","新莊分局","","","","1","","","","","",""
"103年9月","土城分局","","","","","","","2","","",""
"103年9月","樹林分局","","","","","","","","","",""
"103年9月","三峽分局","","","","","","","1","","",""
"103年9月","蘆洲分局","","","","","","","","","",""
"103年9月","淡水分局","","","","","","","","","",""
"103年9月","汐止分局","","","","","","","","","",""
"103年9月","金山分局","","","","","","","","","",""
"103年9月","瑞芳分局","","","","","","","","","",""
"103年10月","板橋分局","","","","","","","2","","",""
"103年10月","海山分局","","","","","","","","","",""
"103年10月","中和一分局","","","","","","","","","",""
"103年10月","中和二分局","","","","","","","","","",""
"103年10月","永和分局","","","","","","","1","","",""
"103年10月","新店分局","","","","","","","","","",""
"103年10月","三重分局","","","","","","","2","","",""
"103年10月","新莊分局","","","","","","","1","","",""
"103年10月","土城分局","","","","","","","","","",""
"103年10月","樹林分局","","","","","","","","","",""
"103年10月","三峽分局","","","","","","","","","",""
"103年10月","蘆洲分局","","","","","","","2","","",""
"103年10月","淡水分局","","","","","","","","","",""
"103年10月","汐止分局","","","","","","","2","","",""
"103年10月","金山分局","","","","1","","","","","",""
"103年10月","瑞芳分局","","","","","","","","","",""
"103年11月","板橋分局","","","","","","","","","",""
"103年11月","海山分局","","","","","","","","","",""
"103年11月","中和一分局","","","","","","","","","",""
"103年11月","中和二分局","","","","","","","","","",""
"103年11月","永和分局","","","","","","","","","",""
"103年11月","新店分局","","","","3.0","","","","","",""
"103年11月","三重分局","","","","","","","1","","",""
"103年11月","新莊分局","","","","1","","","","","",""
"103年11月","土城分局","","","","","","","","","",""
"103年11月","樹林分局","","","","","","","","","",""
"103年11月","三峽分局","","","","","","","1","","",""
"103年11月","蘆洲分局","","","","","","","","","",""
"103年11月","淡水分局","","","","","","","","","",""
"103年11月","汐止分局","","","","","","","","","",""
"103年11月","金山分局","","","","","","","2","","",""
"103年11月","瑞芳分局","","","","","","","","","",""
"103年12月","板橋分局","","","","","","","","","",""
"103年12月","海山分局","","","","","","","","","",""
"103年12月","中和一分局","","","","","","","","","",""
"103年12月","中和二分局","","","","","","","","","",""
"103年12月","永和分局","","","","","","","","","",""
"103年12月","新店分局","","","","1.0","","","","","",""
"103年12月","三重分局","","","","","","","","","",""
"103年12月","新莊分局","","","","","","","1","","",""
"103年12月","土城分局","","","","","","","","","",""
"103年12月","樹林分局","","","","","","","","","",""
"103年12月","三峽分局","","","","","","","","1","",""
"103年12月","蘆洲分局","","","","","","","2","","",""
"103年12月","淡水分局","","","","","","","","","",""
"103年12月","汐止分局","","","","","","","","","",""
"103年12月","金山分局","","","","","","","","","",""
"103年12月","瑞芳分局","","","","","","","","","",""
"104年1月","板橋分局","","","","","","","","","",""
"104年1月","海山分局","","","","","","","","","",""
"104年1月","中和一分局","","","","","","","","","",""
"104年1月","中和二分局","","","","","","","1","","",""
"104年1月","永和分局","","","","","","","","","",""
"104年1月","新店分局","","","","","","","","","",""
"104年1月","三重分局","","","","","","","","","",""
"104年1月","新莊分局","","","","","","","2","","",""
"104年1月","土城分局","","","","","","","","","",""
"104年1月","樹林分局","","","","","","","1","","",""
"104年1月","三峽分局","","1","","","","","1","","",""
"104年1月","蘆洲分局","","","","","","","","","",""
"104年1月","淡水分局","","","","","","","1","","",""
"104年1月","汐止分局","","","","","","","","","",""
"104年1月","金山分局","","","","","","","","","",""
"104年1月","瑞芳分局","","","","","","","","","",""
"104年2月","板橋分局","","","","","","","","","",""
"104年2月","海山分局","","","","","","","","","",""
"104年2月","永和分局","","","","","","","","","",""
"104年2月","中和第一分局","","","","","","","","","",""
"104年2月","中和第二分局","","","","","","","","","",""
"104年2月","三重分局","","","","","","","","","",""
"104年2月","新莊分局","","","","","","","","","",""
"104年2月","三峽分局","","","","","","","","","",""
"104年2月","淡水分局","","","","","","","1.0","","",""
"104年2月","汐止分局","","","","","","","","","",""
"104年2月","樹林分局","","","","","","","","","",""
"104年2月","新店分局","","","","","","","","","",""
"104年2月","蘆洲分局","","","","","","","","","",""
"104年2月","土城分局","","","","1.0","","","","","",""
"104年2月","金山分局","","","","","","","","","",""
"104年2月","瑞芳分局","","","","","","","","","",""
"104年3月","板橋分局","","","","","","","","","",""
"104年3月","海山分局","","","","","","","","","",""
