filename,filelocation,description
機車定檢站位置地理圖資-SHP,https://geoser.epa.gov.tw/portal/sharing/rest/content/items/e08f53679d9f4c1287b1ac1b7bfec6f3/data,顯示經環保署認可之機車排氣定檢站地理位置。
機車定檢站位置地理圖資-KML,https://geoser.epa.gov.tw/portal/sharing/rest/content/items/8131edfa127c4b8390342428896eec8e/data,顯示經環保署認可之機車排氣定檢站地理位置。
